Project,Bug ID,Severity Label,Resolution Status,Short Description
Core,715704,normal,FIXED,Add a quartz implementation of mark_dirty_rectangle
Bugzilla,371425,normal,FIXED,German Localization Page by Marc Schumann is not available
Firefox,425010,normal,FIXED,[]checkbox text is missing.
JDT,209425,normal,FIXED,Ambiguous JavaDoc in ASTParser#setUnitName regarding source folders
Core,492489,normal,FIXED,rendering glitches with interactive SVG in FF 3.6a1pre
Core,494899,normal,FIXED,"""Load PKCS#11 Device"" dialog doesn't work (pkcs11.addmodule call fails)"
Core,477170,normal,FIXED,Removing Windows 95 in configure.in
Core,332576,normal,FIXED,Hebrew text is moving left when clicking the spacebar.
Core,738558,normal,FIXED,B2G 3G: get cell location and cell id in processRegistrationState in ril_worker.js
Core,400839,normal,FIXED,"Link sqlite as C, not C++"
Core,676401,normal,FIXED,The queryCommandEnabled API doesn't take the active editing host into account
Firefox,768096,normal,FIXED,Make the Web Console use the remote debug protocol
Core,409870,normal,FIXED,images invalidate incorrect area when replacing loading-image icon
Core,791117,normal,FIXED,Addition to the public suffix list (betainabox.com)
JDT,125217,normal,FIXED,Two failures in the BatchCompilerTests on MacOS
JDT,156226,normal,FIXED,Allow classpath variable to be marked as non modifiable
Core,787675,normal,FIXED,Trigger jemalloc release assertions from within a new stack frame
Core,515290,normal,FIXED,NJ: LIR_ret/asm_ret are broken
Firefox,793031,normal,FIXED,Open recent file fails if the file doesn't exists anymore
Core,546638,normal,FIXED,[HTML5] layout/base/tests/test_bug465448.xul fails
Core,730992,normal,FIXED,Bonding for DOM Bluetooth Devices
Core,529837,normal,FIXED,"random orange: assertion failure in a11y mochitests: v == LOCKED_OBJ_GET_SLOT(pobj, sprop->slot)"
Core,369000,normal,FIXED,reftest bugs/328829-1 failing on linux & windows
Platform,139595,normal,FIXED,Update manifest to compile against Foundation 1.0: org.eclipse.ui.intro.universal
Core,677066,normal,FIXED,IonMonkey: Emitting instructions at uses during lowering is incorrect in some cases
Firefox,739160,normal,FIXED,"""Fx10+ Conditionally Hidden Forward Button"" Fx feature disabled by CSS element Id=fullscreenflex"
Core,763893,normal,FIXED,Generate dependentlibs.list from actual library dependencies
Core,612312,normal,FIXED,Change DEBUG_ARRAYS to DEBUG
Core,572688,normal,FIXED,Add nsIDOMNSDocument::mozSetImageElement
Core,332975,normal,FIXED,Left margin on RTL list item pushes the list marker (bullet) to the right
Core,694896,normal,FIXED,Enable jemalloc on MacOS 10.7
Core,786854,normal,FIXED,"""ASSERTION: Empty string?"" with empty background attribute"
Firefox,531227,normal,FIXED,mochitest-browser-chrome: browser_bookmarksProperties.js times out intermittently
Platform,170194,normal,FIXED,NPE on Ctrl+E when active part has no selection
Thunderbird,465011,normal,FIXED,[crash] group by sort in saved search (virtual folder) confused on imap and crash on expand/collapse group
Platform,132901,normal,FIXED,Improve perspective description for display for Team Synchronizing perspective
Platform,228264,normal,FIXED,NPE when copying stack trace.
Core,518765,normal,FIXED,narcissus labels
Core,509558,normal,FIXED,Need to package nssdbm3.chk for NSS >= 3.12.4 (Firefox 3.6a1 doesn't support FIPS mode)
Core,479725,normal,FIXED,"UMR [@ nsOggDecoder::GetStatistics], nsOggDecoder::mDuration not initialized"
Core,762851,normal,FIXED,[AccessFu] Introduce single letter quick navigation keys
Core,689223,normal,FIXED,content encoding error on https://irccloud.com on nightly Firefox Android mobile
Platform,326897,normal,FIXED,The context servlet is returning the XML when there is no description instead of jumping directly to the assigned html
CDT,173550,normal,FIXED,Missing strings for ShowInCViewAction
Core,521118,normal,FIXED,Plugins: Need NPAPI threadsafety assertions in plugin process
Firefox,406358,normal,FIXED,Location bar drop down ignores frequency of visits
Platform,306516,normal,FIXED,Increment filesystem fragments for Windows platforms
Platform,207971,normal,FIXED,Typos in the org.eclipse.team.core package.html file.
Core,487712,normal,FIXED,Pick up NSS_HEAD_20090409 to fix WINCE
Core,750745,normal,FIXED,Allocate nsLineBoxes from their own presshell arena list
Core,607284,normal,FIXED,getOwnPropertyDescriptor across different js sandboxes misbehaves
Core,378240,normal,FIXED,"""ASSERTION: Should have found a parent before this"" with a position:fixed table and a caption"
Firefox,422977,normal,FIXED,remove advanced search UI from library / bookmarks organizer
JDT,124479,normal,FIXED,Can't find out whether linking is enabled in the package explorer
Core,567357,normal,FIXED,Fire a DOMWindowCreated DOM event to match the observer notification in bug 549539
Core,804319,normal,FIXED,"Implement parsing of ""stringifier;"""
JDT,141949,normal,FIXED,Missing usage restrictions specification
JDT,304394,normal,FIXED,IJavaElement#getAttachedJavadoc(IProgressMonitor) should support referenced entries
Core,532608,normal,FIXED,osso-mem.h used but not added to system-headers
Platform,177977,normal,FIXED,org.eclipse.help.examples.ex1
Core,747215,normal,FIXED,Ensure redirect pathways always call both OnStart/OnStopRequest
Firefox,499435,normal,FIXED,"mochitest-browser-chrome: browser_420786.js needs to report ""success"""
Platform,143711,normal,FIXED,async update of variables view too granular
Firefox,345150,normal,FIXED,"Middle clicking items in ""Recently Closed Tabs"" closes the menu"
Core,326594,normal,FIXED,Consider using backtrace() for Unix stack traces
Platform,151635,normal,FIXED,[browser] cannot tab between fields on page
Platform,274377,normal,FIXED,[Test] Add test to verify that search index exists for the 5 doc plugins
Platform,138025,normal,FIXED,[Change Sets] Delete and other edit commands missing when Change Sets enabled
Firefox,416650,normal,FIXED,Tags list is shown while viewing properties of a folder after viewing properties of a bookmark
Firefox,695482,normal,FIXED,"""Search Google for <selection>"" should open in the foreground regardless of preference"
Platform,328365,normal,FIXED,performance test results are not being generated for tests run on ejlnx2
Platform,273617,normal,FIXED,property tester expression doesn't check selected element's type
Firefox,615693,normal,FIXED,Improve the inactive window appearance of tabs-on-top
Thunderbird,369109,normal,FIXED,Thunderbird 2 release notes lnik in Help menu should point to localized documents
Core,778569,normal,FIXED,Add uiautomationcore to accessibility client detection
Core,775304,normal,FIXED,Don't visit the descendant frames for the nsChangeHint_UpdateEffects hint
Firefox,333874,normal,FIXED,cannot build firefox against xulrunner due to xpcom_obsolete dependency
Platform,127246,normal,FIXED,NPE in ViewContextService.perspectiveChanged
Core,384391,normal,FIXED,"<svg:circle> as root element causes ""ASSERTION: null ptr"""
Core,573631,normal,FIXED,trace malloc for x86_64 Mac OS X builds is too slow
CDT,191198,normal,FIXED,[Indexer] ClassCastException in binding resolution
Core,420217,normal,FIXED,"InterlockedComparreExchange needs to be exterrn ""C"" when using a C++ compiler"
Bugzilla,351747,normal,FIXED,"skins/.cvsignore should be in the CVS repo, not created by checksetup"
Firefox,327206,normal,FIXED,"bms.getFolderReadonly(folder.folderId) doesn't agree with folder.childrenReadOnly for ""Latest Headlines"" when iterating through bookmarks tree"
Core,559943,normal,FIXED,[OOPP] Opening Silverlight 4's Options menu on certain SL apps crashes the browser
Firefox,377611,normal,FIXED,RSS feed undiscovered - value of rel attribute should not be treated as case sensitive
Core,586900,normal,FIXED,ERROR TEST-UNEXPECTED-FAIL | /tests/layout/base/tests/test_bug569520.html | Second listener should fire after first listener
Core,386083,normal,FIXED,The SVG code should check gfxASurface::CairoStatus() when it creates new surfaces
Platform,344048,normal,FIXED,something is amiss with org.eclipse.equinox.executable.feature.group
Firefox,465332,normal,FIXED,Can not drag tab to make a bookmark
Platform,170331,normal,FIXED,[WorkbenchLauncer] provide API for extending the splash in Eclipse
Core,595372,normal,FIXED,intermittent TEST-UNEXPECTED-FAIL | chrome://mochikit/content/chrome/content/xul/templates/tests/chrome/test_tmpl_mixedsyntaxiscontainerisempty.xul | mixed syntax - iscontainer isempty
Core,541836,normal,FIXED,Yet another registry key for TrackPoint hack
Core,339008,normal,FIXED,Static strings in xpconnect make libxul builds crash
JDT,243160,normal,FIXED,[misc] missing empty line after Javadoc text in case of @deprecated
Core,678161,normal,FIXED,msvc*.dll missing when building with VC10
Core,619768,normal,FIXED,upgrade ANGLE to r511
Core,687127,normal,FIXED,TI: sqlite.js runs slowly
CDT,209762,normal,FIXED,[Open Element] should display the parameters of macros
Core,602978,normal,FIXED,Blacklist JITs for GT-I9000 devices
Core,550961,normal,FIXED,Typo in license header in several files
Firefox,520579,normal,FIXED,Dragging tabs between windows leaves the tab label undefined during the dispatch of the pageshow event
Core,632508,normal,FIXED,Handle non-finite values for rotate per spec
Firefox,342909,normal,FIXED,"Scroll buttons do not have button-like appearance, look like static icons and offer no feedback"
Firefox,793138,normal,FIXED,Inspect command is broken
Firefox,656360,normal,FIXED,webDeveloperMenu.accesskey can not be localized
Thunderbird,600958,normal,FIXED,reload in standalone message window does nothing
Core,440149,normal,FIXED,Newline characters incorrectly interpreted as <br /> when wrapped around an inline element in xhtml
JDT,332019,normal,FIXED,[quick assist] Exchange operands must add parentheses sometimes
Core,552500,normal,FIXED,SpiderMonkey configuration should not bother to check direction of stack growth
Core,801922,normal,FIXED,IonMonkey: LDefinition::BOX should only be defined with JS_PUNBOX64
Platform,181648,normal,FIXED,[Memory View] NPE in AbstractAsyncTableRendering when activated
Core,781422,normal,FIXED,parameters should get defaults whenever they are undefined
Core,623991,normal,FIXED,White list Galaxy S phones to have OpenGL acceleration
Platform,246189,normal,FIXED,Ant UI test suite is not single-file friendly
Firefox,624625,normal,FIXED,change home page of Google search plugin to google.com
Core,760047,normal,FIXED,Don't handle a null aDocument in nsGlobalWindow::SetNewDocument
CDT,166750,normal,FIXED,EditorUtility.openInEditor should resolve linked resources
Core,338871,normal,FIXED,Warning: nsIWindowCreator2 is scriptable but inherits from the non-scriptable interface nsIWindowCreator
Platform,243742,normal,FIXED,Registering a PRIVATE popup menu
Core,596140,normal,FIXED,reduce size of CSS style rules
Firefox,624338,normal,FIXED,Update check for default browser to work the new way (glib >= 2.27.1)
CDT,246061,normal,FIXED,[Refactoring] why can I select a visibility when extracting a const
Platform,299731,normal,FIXED,ProgressMonitorDialog should check for widget state in its async runnable
CDT,236856,normal,FIXED,[Parser] bogus syntax errors with new expressions
Platform,252441,normal,FIXED,Can't select plugins in run configurations
Core,492849,normal,FIXED,"ES5: Implement Object.preventExtensions, Object.isExtensible"
Platform,274675,normal,FIXED,update 3.5 readme
Core,648705,normal,FIXED,Possible security sensitive crash [@ mozilla::WebGLProgram::DetachShaders() ]
Core,392652,normal,FIXED,nsXULPopupManager::Rollup() should synchronously hide popups
Core,721575,normal,FIXED,"backport 020e61c8efed, 25fe3fddc59e and d377d38a23d3 to beta"
Core,668936,normal,FIXED,Arguments to String.prototype.replace not stringified in correct order
Firefox,338189,normal,FIXED,pre-process url-classifier js components
Core,723362,normal,FIXED,Make nsCacheEntryDescriptor::Doom asynchronous
Core,385277,normal,FIXED,Label_for/Lable_by not paired
Firefox,337324,normal,FIXED,move Firefox-specific microsummary directory defs to nsBrowserDirectoryProvider
Firefox,442810,normal,FIXED,update UI for app cache changes
Core,746570,normal,FIXED,Codegen.py has lots of cases of using rstrip() where it means stripTrailingWhitespace()
Firefox,806689,normal,FIXED,Port browser_privatebrowsing_opendir.js to the new per-window PB APIs
Platform,274188,normal,FIXED,create caret from image does not work
Platform,131070,normal,FIXED,Tooltip text contains mnemonic key character in Search view
Core,533983,normal,FIXED,Update NSPR to the NSPR_HEAD_20091210 CVS tag
Core,718650,normal,FIXED,IonMonkey: Reset script use count when invalidating scripts
Core,530220,normal,FIXED,Bug in binary data handling in FileReader
JDT,140102,normal,FIXED,"Focus cannot be set to ""Type"", ""Line Number"" and ""Member"" fields in the properties dialog of the breakpoint"
Core,803520,normal,FIXED,Don't use JSCList for JSRuntime::contextList
JDT,261479,normal,FIXED,[content assist] Constructor completion with selected text throws AFE
CDT,229992,normal,FIXED,Generate PDOM should delete projects when complete (or have flag to do so)
Core,508716,normal,FIXED,Fluid dynamics simulators is slow
Firefox,636279,normal,FIXED,_tabsRestoringCount goes negative if setBrowserState called at browser startup and last session had pinned tab(s)
Core,695097,normal,FIXED,"Split up frontend/Parser.{h,cpp}"
Core,441578,normal,FIXED,client.mk still includes instructions to call python client.py checkout
Core,627647,normal,FIXED,"""ASSERTION: Can only call this on frames that have been reflowed"" after enabling accessibility"
Core,743444,normal,FIXED,SVG document does not render correctly
Core,723055,normal,FIXED,remove nsLocalFileUnicode.h
Platform,147181,normal,FIXED,Incorrect use of instanceof TextSelection
Core,797217,normal,FIXED,Eliminate zeroPointer
Core,376533,normal,FIXED,uClibc strings/index and childiterator.index conficts
Firefox,381360,normal,FIXED,basic bookmarks query test failing
Core,362326,normal,FIXED,"[cairo] printing writes ""directly"" to the printer instead of the queue app"
Core,394630,normal,FIXED,CSS regression: -moz-border-radius hover bug
Bugzilla,410902,normal,FIXED,Some characters are mangled in diff and interdiff modes when viewing attachment
Platform,329199,normal,FIXED,ErrorEditorPart must implement setFocus()
Core,502522,normal,FIXED,Password fields on Windows CE show asterisks instead of dots on Windows CE
Firefox,734365,normal,FIXED,Rule view focus management needs an overhaul
Platform,214458,normal,FIXED,*_consolelog.txt incomplete
Core,451533,normal,FIXED,Make sure all names are truncated throughout platform-independent module
Core,448831,normal,FIXED,dynamic changes to filters without an in1 don't work
Platform,262640,normal,FIXED,NPE in JavaMergeViewer
CDT,156561,normal,FIXED,C/C++ Search doesn't find macros
JDT,229927,normal,FIXED,No code assist in array initializer
Core,563114,normal,FIXED,Remove nsINonBlockingAlertService
Core,819822,normal,FIXED,trivial uses of Android PeerConnection fail even when build patches applied
Core,758732,normal,FIXED,"configure sometimes fails with ""rm: cannot lstat `conftest.exe': Permission denied"" followed by ""C++ compiler cannot create executables"""
Bugzilla,430013,normal,FIXED,@INC behaviour is non-obvious for extensions
Core,739882,normal,FIXED,decomtaminate getting row and column count on accessible tables
Core,749448,normal,FIXED,Remove XTF
Core,673556,normal,FIXED,We use UINT32_MAX in c++ but don't define __STDC_LIMIT_MACROS
CDT,303620,normal,FIXED,libspawner requires glibc 2.5 => doesn't work on RHEL4
Firefox,414902,normal,FIXED,Need smaller home button icon for Mac
Firefox,819929,normal,FIXED,"[toolbox] Buttons (close, undock and tabs) don't have tooltips"
JDT,209823,normal,FIXED,IAnnotation#getSourceRange() and #getNameRange() throw JME on annotation of ILocalVariable
Platform,178234,normal,FIXED,NPE in FormHeading.MessageRegion.removeMessageHyperlinkListener()
Platform,135956,normal,FIXED,[Trim] no perspective switcher on resize
Core,333896,normal,FIXED,Convert GetAttr calls to AttrValueIs and FindAttrValueIn
Core,799956,normal,FIXED,Slow scrolling in nightlies when using opacity < 1
CDT,238232,normal,FIXED,[Resolution] problem with conversion on implicit object type
Core,791928,normal,FIXED,[b2g-bluetooth] Broadcast bonding-related events with device name
Core,368902,normal,FIXED,Unnecessary looping over collapsed children in nsSprocketLayout
Core,600648,normal,FIXED,Inefficient representation of the mark bitmap
Core,796927,normal,FIXED,xpcom does not compile on armv6 (sb2) for raspberry pi
Firefox,424237,normal,FIXED,profile migration/import from SeaMonkey/Mozilla doesn't work
Core,609671,normal,FIXED,custom Android linker prevents system libraries from being dlopen'd
Firefox,322390,normal,FIXED,Fix function pointers on Windows
Platform,265532,normal,FIXED,SWTPatch editor doesn't allow cocoa
Platform,184604,normal,FIXED,[Undo] - Action handlers should initially support local context if there are operations available
Firefox,374150,normal,FIXED,"[places] assert when I attempt to right click + bookmark a link: Couldn't select folders because no root node was available."""
Platform,187108,normal,FIXED,clean up equinox build
Firefox,519486,normal,FIXED,Some themes are illegible with the text shadow implementation
Core,740252,normal,FIXED,EventListenerManager disables various things in RemoveEventListener even if there can be still listeners
Core,642174,normal,FIXED,JM: jsop_instanceof only tests isFunction if !rhs->isTypeKnown
Firefox,348865,normal,FIXED,[Mac] Livemark and container icons in bookmarks toolbar have a darker background when hovered or opened
Firefox,604201,normal,FIXED,browser_tabview_snapping.js test fails if you run it by itself
Core,632227,normal,FIXED,NetUtil should have a helper method to read an input stream asynchronously
Core,720758,normal,FIXED,Uninitialised value use in gfx/layers/basic/BasicLayers.cpp
Platform,165251,normal,FIXED,Not enough information in Calendar control's SelectionEvent
Core,323737,normal,FIXED,Hang involving <mtable> and <mroot>
Core,454816,normal,FIXED,Put latest Public Suffix List changes on the 3.0.x branch
Firefox,465910,normal,FIXED,Drag&Drop of tab onto home button opens the tab in a new window
Core,487967,normal,FIXED,occasional leak of array or hash table storage allocation in js_AddLocal
Core,569327,normal,FIXED,inconsistent for loop performance
Core,395676,normal,FIXED,Diacritics shift to the left in RTL text
Platform,247557,normal,FIXED,"Tracker seems broken, affects dragging Views, Editors"
Firefox,640062,normal,FIXED,Panorama tabs-from-other-windows button displays &nbsp;
Core,761930,normal,FIXED,Multi-process support for MediaStorage
Core,332773,normal,FIXED,Drop XLink support
Core,326281,normal,FIXED,Missing SAVE_SP_AND_PC calls before js_CheckRedeclaration calls
Platform,156726,normal,FIXED,[Mapping] Need API to allow models to ensure that related changes are grouped together during a commit
Platform,233969,normal,FIXED,NPE in Tree.windowProc when starting to drag elements
Platform,128612,normal,FIXED,Errors from Eclipse CVS Team Provider while projects are configured by home made cvs team provider
Core,705236,normal,FIXED,Allow trailing separator in SMIL values list
Firefox,415489,normal,FIXED,URL bar autocomplete slow since bug 414507
JDT,314354,normal,FIXED,Project Explorer does not refresh on adding/removing library to a project
JDT,151487,normal,FIXED,Variable hover incorrect for members of the same type but different object
Core,806127,normal,FIXED,ThirdPartyUtil should consider browser/app frames to be top-level windows.
Core,554835,normal,FIXED,Build fixes for MOZ_IPC undefined
CDT,237016,normal,FIXED,C Compare Viewer does not colorize doxygen comments
Platform,139358,normal,FIXED,team.internal.core.history is not marked as internal
Core,751496,normal,FIXED,get rid nsAccessible::GetBoundaryFrame
Core,379920,normal,FIXED,"SVG + XBL causes ""ASSERTION: Really should have doc element frame here"""
Firefox,335961,normal,FIXED,bookmarks export doesn't export keywords
Core,614988,normal,FIXED,"""ASSERTION: We should never try to use the editor if we're not initialized unless we're being initialized"""
Firefox,761231,normal,FIXED,Font for the Debugger panels should be message-box
Core,336791,normal,FIXED,land leak fixes making wrapped JS closures work with nsIDOMGCParticipant on 1.8 branch
Core,638627,normal,FIXED,Crash in unmapped trace-jitted code from this URL
Core,586298,normal,FIXED,Move or remove radio visitors factories
Platform,153924,normal,FIXED,Project Explorer: ugly blinking when resizing Filters dialog
JDT,310993,normal,FIXED,[hovering] {@value} resolution in Javadoc doesn't work if constant doesn't explicitly declare static final
Core,819588,normal,FIXED,"File containing only string ""<font>"" crashes browser"
Core,800667,normal,FIXED,typo wih NATIVE_OUTPUT in qcms
Thunderbird,515803,normal,FIXED,[faceted search] Entering a search term and pressing enter after waiting for the suggestion popup causes five instances of gloda
Core,765313,normal,FIXED,script->types is getting thrown out too soon in JSScript::ensureRanAnalysis
Firefox,791123,normal,FIXED,Revive ehsan's git mirror of mozilla-central
Core,364678,normal,FIXED,Incorrectly styled text after bug
Core,767930,normal,FIXED,Implement typed arrays as return values for WebIDL
JDT,210498,normal,FIXED,Extra type in hierarchy when focusing on local class
Core,523341,normal,FIXED,type selectors always serialize as lowercase
JDT,128033,normal,FIXED,[1.5][search] Not all references are found in standard annotations
Core,348279,normal,FIXED,Design spec/API for keyboard interaction with plugins
Core,469206,normal,FIXED,`ProcessBind` incorrectly throwing xforms-binding-exception in inner binds
