bug_id,description,my_review
476705,toplevel windows and dialogs should be maximized on windows mobile,frontend
506499,Release Bugzilla 3.4,other
515221,Software Keyboard is not reset when we are deactivated,frontend
519974,"When we use IME, ASSERTION is printed at each key input (ASSERTION: nsEditor doesn't support wide caret: 'selectionStart == selectionEnd', editor/libeditor/base/IMETextTxn.cpp line 322",frontend
521154,xpcshell-tests: test_streamupdater hangs with 'strict' & 'werror' on,other
523755,"In nsCSSDeclaration, check unit against eCSSUnit_None, instead of checking value against nsCSSValue(eCSSUnit_None)",backend
526596,CSS outline is not coalesced in dynamic case,frontend
528829,"If mouse button is held down during page transition, Firefox stops responding to mouse clicks",frontend
549260,[@ nsTextInputListener::EditAction] mFrame went away,frontend
550207,JM: Extend JMFLAGS to allow the VMFrame contents to be dumped.,backend
554523,Release Bugzilla 3.6,other
555686,scope is never used in JS_NextProperty,backend
557060,"[Debug Windows SeaMonkey 2.1] Startup fails with Windows error dialog ""?_Throw@std@@YAXABVexception@stdext@@@Z entry point not found in MSVCP80D.dll""",other
559988,Release Bugzilla 3.4.7,other
563114,Remove nsINonBlockingAlertService,backend
563125,"""Assertion failure: m != TT_INT32 || isInt32(*vp)"" with array.length",backend
563151,"[Debug Windows SeaMonkey] ""nsinstall.exe: Bad file number"" regression",other
566639,"Recursion limit differs between TM and interpreter, take 3",backend
567511,Setting document.domain breaks canvas getImageData functionality,frontend
573340,Remove unused declaration of nsGenericHTMLElement::Shutdown,backend
578729,Cutoff min/max/close buttons without navigation bar,frontend
580618,GC removes HeadsUpDisplay after reloading the page,frontend
581327,"Lists of bugs (aka tags) are broken, because bug IDs are no longer split on commas",backend
588607,Implement custom dlopen to load libraries from apk,other
593918,JM: Some ICs don't use the right sync label,backend
604734,Crash in [@ nsPresContext::IsRootContentDocument ],frontend
613176,app menu panes lack a separator when using a non-'windows-default-theme' theme,frontend
623922,"in ""Set as background image"" dialog, the combox box with Stretch/Tile/Center options is cropped",frontend
633164,Zoomed ogg video renders at the wrong size until I move the mouse,frontend
655517,Remove nsIDOMDocumentEvent,backend
656183,getContext() calls SetCanvasElement twice,frontend
659816,Quicksearch only works for ASCII strings (when quoted),backend
660451,"Crash [@ nsIFrame::GetParent() | nsCSSFrameConstructor::MaybeRecreateContainerForFrameRemoval(nsIFrame *,unsigned int *) ] during restyle",frontend
665360,"Crash [@ gfxMixedFontFamily::ReplaceFontEntry(gfxFontEntry*, gfxFontEntry*) ]",frontend
671423,"""non-relocatable subtraction expression"" trying to compile content/canvas/src/CanvasUtils.cpp",other
675754,Release notes for Bugzilla 4.0.2,other
678161,msvc*.dll missing when building with VC10,other
682717,Assignment to a DebugOnly variable is automatically elided in non-debug builds.,backend
697756,Video capture feature of Android depends on raw video feature,other
698150,"TI: Assertion failure: type->canProvideEmptyShape(clasp), at ../jsobjinlines.h:1538",backend
709519,Remove unused 1-argument nsRenderingContext::DrawEllipse,backend
714391,Text on disabled toolbar buttons in the menubar doesn't look disabled,frontend
717762,Make js_memcpy for bounds checking,backend
724781,Java related crash with deleted this | [@ nsPluginInstanceOwner::Destroy() ]  [@ nsObjectFrame::SetInstanceOwner(nsPluginInstanceOwner*) ],backend
729797,"IonMonkey: Assertion failure: cx->enumerators == obj, at jsiter.cpp:945",backend
735045,"JS OOM Testing: Assertion failure: !var.lifetime && var.saved, at js/src/jsanalyze.cpp:933",backend
738102,devicemotion causes shutdown crash,frontend
746370,"IonMonkey: Assertion failure: JSOp(*(script->code + tn->start + tn->length)) == JSOP_ENDITER, at js/src/ion/IonFrames.cpp:313",backend
758884,"[AccessFu] Regression: virtual cursor gets stuck, renders Talkback almost unusable",frontend
763866,JavaScript strict warning: reference to undefined property this._displayedLog,backend
765315,It is not possible to call Bugzilla::Component->new with 'name' & 'product' params,backend
772782,crash in DocAccessible::Shutdown @ NotificationController::Shutdown,frontend
783723,"Intermittent test_bug751809.html | Waited too long for plugin to activate, | plugin should be activated now, and 34 more bits of fallout",other
784381,Build bustage for comm-central - SHA1.h - Cannot open include file: 'stdint.h',other
792510,Crash with Illegal instruction (SIGILL) with gczeal(4),backend
807109,Turn off SO_LINGER for usrsctp DataChannel sockets,backend
811336,Only pass --nsscmd to MOZ_SIGN_CMD when signing Windows builds,other
811612,Crash [@ strlen] or [@ js_ExpandErrorArguments],backend
822313,Leaks on aurora,backend
