bug_id,description,my_schema_type,my_review,disagree,confidence,review_note
427938,Phishing protection does not seem to be working properly in Firefox 3; this is a serious regression in effectiveness from Firefox 2,frontend,backend,True,weak,"Phishing protection is a security service, not UI"
428288,[@ NS_GetInnermostURI - nsDocShell::ValidateOrigin],backend,backend,False,,
429624,Remove description from application accessible,frontend,frontend,False,,
432454,Library View settings are not persistant,database,frontend,True,strong,"UI view-settings persistence, not a DB engine/schema issue"
434602,"After being open a few minutes, large parts of the screen don't repaint",frontend,frontend,False,,
437276,Firefox uses wrong font for Oromo text,frontend,frontend,False,,
444128,|MacApplicationDelegate| in toolkit throws ObjC exception when creating a |NSMenuItem| with a |nil| |NSString *|,backend,backend,False,,
449812,"useless ""select all"" context menu entry",frontend,frontend,False,,
453736,"Crash under nsSVGElement::BindToTree with <svg:use>, <svg:script>",frontend,frontend,False,,
460706,Crash [@ little2_updatePosition] with xmlhttprequest and large xml file,backend,backend,False,,
462076,Dynamically inserted iframes on refresh sometimes trade places,frontend,frontend,False,,
463527,Release Notes for 2.22.6,other,other,False,,
467146,font-size text attribute should be exposed in pt units,frontend,frontend,False,,
474862,Plural rule for Icelandic,other,other,False,,
476705,toplevel windows and dialogs should be maximized on windows mobile,frontend,frontend,False,,
506499,Release Bugzilla 3.4,other,other,False,,
515221,Software Keyboard is not reset when we are deactivated,frontend,frontend,False,,
519974,"When we use IME, ASSERTION is printed at each key input (ASSERTION: nsEditor doesn't support wide caret: 'selectionStart == selectionEnd', editor/libeditor/base/IMETextTxn.cpp line 322",frontend,frontend,False,,
521154,xpcshell-tests: test_streamupdater hangs with 'strict' & 'werror' on,other,other,False,,
523755,"In nsCSSDeclaration, check unit against eCSSUnit_None, instead of checking value against nsCSSValue(eCSSUnit_None)",backend,backend,False,,
526596,CSS outline is not coalesced in dynamic case,frontend,frontend,False,,
528829,"If mouse button is held down during page transition, Firefox stops responding to mouse clicks",frontend,frontend,False,,
549260,[@ nsTextInputListener::EditAction] mFrame went away,frontend,frontend,False,,
550207,JM: Extend JMFLAGS to allow the VMFrame contents to be dumped.,backend,backend,False,,
554523,Release Bugzilla 3.6,other,other,False,,
555686,scope is never used in JS_NextProperty,backend,backend,False,,
557060,"[Debug Windows SeaMonkey 2.1] Startup fails with Windows error dialog ""?_Throw@std@@YAXABVexception@stdext@@@Z entry point not found in MSVCP80D.dll""",other,other,False,,
559988,Release Bugzilla 3.4.7,other,other,False,,
563114,Remove nsINonBlockingAlertService,backend,backend,False,,
563125,"""Assertion failure: m != TT_INT32 || isInt32(*vp)"" with array.length",backend,backend,False,,
563151,"[Debug Windows SeaMonkey] ""nsinstall.exe: Bad file number"" regression",other,other,False,,
566639,"Recursion limit differs between TM and interpreter, take 3",performance,backend,True,strong,"JS engine correctness difference (tracing JIT vs interpreter), not perf"
567511,Setting document.domain breaks canvas getImageData functionality,frontend,frontend,False,,
573340,Remove unused declaration of nsGenericHTMLElement::Shutdown,backend,backend,False,,
578729,Cutoff min/max/close buttons without navigation bar,frontend,frontend,False,,
580618,GC removes HeadsUpDisplay after reloading the page,frontend,frontend,False,,
581327,"Lists of bugs (aka tags) are broken, because bug IDs are no longer split on commas",backend,backend,False,,
588607,Implement custom dlopen to load libraries from apk,backend,other,True,medium,Build/platform packaging (Android APK library loading)
593918,JM: Some ICs don't use the right sync label,backend,backend,False,,
604734,Crash in [@ nsPresContext::IsRootContentDocument ],frontend,frontend,False,,
613176,app menu panes lack a separator when using a non-'windows-default-theme' theme,frontend,frontend,False,,
623922,"in ""Set as background image"" dialog, the combox box with Stretch/Tile/Center options is cropped",frontend,frontend,False,,
633164,Zoomed ogg video renders at the wrong size until I move the mouse,frontend,frontend,False,,
655517,Remove nsIDOMDocumentEvent,backend,backend,False,,
656183,getContext() calls SetCanvasElement twice,frontend,frontend,False,,
659816,Quicksearch only works for ASCII strings (when quoted),backend,backend,False,,
660451,"Crash [@ nsIFrame::GetParent() | nsCSSFrameConstructor::MaybeRecreateContainerForFrameRemoval(nsIFrame *,unsigned int *) ] during restyle",frontend,frontend,False,,
665360,"Crash [@ gfxMixedFontFamily::ReplaceFontEntry(gfxFontEntry*, gfxFontEntry*) ]",frontend,frontend,False,,
671423,"""non-relocatable subtraction expression"" trying to compile content/canvas/src/CanvasUtils.cpp",backend,other,True,weak,"Compile/build error, matches build->other pattern elsewhere"
675754,Release notes for Bugzilla 4.0.2,other,other,False,,
678161,msvc*.dll missing when building with VC10,other,other,False,,
682717,Assignment to a DebugOnly variable is automatically elided in non-debug builds.,backend,backend,False,,
697756,Video capture feature of Android depends on raw video feature,backend,other,True,weak,"Reads like feature-dependency/tracking, not backend runtime logic"
698150,"TI: Assertion failure: type->canProvideEmptyShape(clasp), at ../jsobjinlines.h:1538",backend,backend,False,,
709519,Remove unused 1-argument nsRenderingContext::DrawEllipse,backend,backend,False,,
714391,Text on disabled toolbar buttons in the menubar doesn't look disabled,frontend,frontend,False,,
717762,Make js_memcpy for bounds checking,backend,backend,False,,
724781,Java related crash with deleted this | [@ nsPluginInstanceOwner::Destroy() ]  [@ nsObjectFrame::SetInstanceOwner(nsPluginInstanceOwner*) ],backend,backend,False,,
729797,"IonMonkey: Assertion failure: cx->enumerators == obj, at jsiter.cpp:945",backend,backend,False,,
735045,"JS OOM Testing: Assertion failure: !var.lifetime && var.saved, at js/src/jsanalyze.cpp:933",backend,backend,False,,
738102,devicemotion causes shutdown crash,frontend,frontend,False,,
746370,"IonMonkey: Assertion failure: JSOp(*(script->code + tn->start + tn->length)) == JSOP_ENDITER, at js/src/ion/IonFrames.cpp:313",backend,backend,False,,
758884,"[AccessFu] Regression: virtual cursor gets stuck, renders Talkback almost unusable",frontend,frontend,False,,
763866,JavaScript strict warning: reference to undefined property this._displayedLog,frontend,backend,True,weak,"JS engine strict warning, not UI"
765315,It is not possible to call Bugzilla::Component->new with 'name' & 'product' params,backend,backend,False,,
772782,crash in DocAccessible::Shutdown @ NotificationController::Shutdown,frontend,frontend,False,,
783723,"Intermittent test_bug751809.html | Waited too long for plugin to activate, | plugin should be activated now, and 34 more bits of fallout",other,other,False,,
784381,Build bustage for comm-central - SHA1.h - Cannot open include file: 'stdint.h',other,other,False,,
792510,Crash with Illegal instruction (SIGILL) with gczeal(4),backend,backend,False,,
807109,Turn off SO_LINGER for usrsctp DataChannel sockets,backend,backend,False,,
811336,Only pass --nsscmd to MOZ_SIGN_CMD when signing Windows builds,other,other,False,,
811612,Crash [@ strlen] or [@ js_ExpandErrorArguments],backend,backend,False,,
822313,Leaks on aurora,performance,backend,True,medium,"Memory leak = resource/memory bug, not inherently performance"
